9,2281367889,597.00,111.79,111.79,111.79,110.78,111.79
9,2281367889,595.00,93.66,92.65,92.65,92.65,91.64
9,999733585,593.00,91.64,91.64,92.65,92.65,92.65
9,1059867985,604.00,96.68,95.67,95.67,96.68,96.68
9,0,572.00,96.68,96.68,96.68,95.67,96.68
9,0,563.00,96.68,96.68,96.68,96.68,95.67
9,0,569.00,97.69,96.68,97.69,98.69,30.21
9,1231631185,552.00,3.04,3.05,3.06,3.05,3.05
9,1231631185,539.00,3.03,3.03,3.03,3.04,3.03
9,1231631185,535.00,3.04,3.03,3.03,3.03,3.03
9,1231631185,527.00,3.03,3.02,3.03,3.03,3.03
9,1231631185,522.00,3.04,3.03,3.03,3.03,3.03
9,2306078289,522.00,3.04,3.04,3.04,3.05,3.04
9,2253806289,511.00,0.29,0.29,0.28,0.28,0.29
9,2253806289,571.00,0.27,0.28,0.27,0.28,0.26
9,1206,519.00,0.26,0.26,0.26,0.25,0.27
9,10107,503.00,0.26,0.27,0.27,0.26,0.26
9,10106,510.00,0.28,0.27,0.27,0.27,0.28
9,10107,499.00,0.26,0.26,0.26,0.28,0.26
9,10316,586.00,-0.67,-0.91,-1.02,-0.94,-0.91
9,766,570.00,-0.80,-0.89,-1.11,-1.03,-1.04
9,10522,751.00,0.27,0.80,0.17,0.66,0.63
9,10106,863.00,0.86,0.63,0.85,0.85,0.85
9,10522,867.00,0.71,0.69,0.67,0.72,0.70
9,10106,767.00,0.63,0.62,0.62,0.62,0.63
9,10107,744.00,0.62,0.63,0.62,0.62,0.62
9,10107,723.00,0.63,0.62,0.62,0.64,0.62
9,10107,713.00,0.62,0.62,0.63,0.62,0.62
9,10107,702.00,0.61,0.62,0.61,0.60,0.61
9,10106,703.00,0.60,0.60,0.60,0.62,0.62
9,10107,699.00,0.62,0.61,0.60,0.60,0.61
9,10105,697.00,0.60,0.61,0.61,0.56,0.62
9,10107,684.00,0.61,0.61,0.60,0.61,0.61
9,10105,691.00,0.61,0.61,0.61,0.60,0.61
9,10107,685.00,0.61,0.61,0.61,0.61,0.62
9,10105,681.00,0.62,0.61,0.61,0.60,0.62
9,10107,684.00,0.61,0.61,0.62,0.61,0.61
9,10105,691.00,0.61,0.61,0.61,0.61,0.60
9,10107,673.00,0.61,0.60,0.61,0.61,0.61
9,10105,679.00,0.61,0.62,0.61,0.61,0.61
9,10107,672.00,0.60,0.60,0.61,0.60,0.61
9,10105,683.00,0.60,0.61,0.61,0.61,0.61
9,10107,673.00,0.62,0.62,0.61,0.61,0.60
9,10105,674.00,0.62,0.61,0.62,0.61,0.61
9,10107,667.00,0.61,0.61,0.61,0.61,0.61
9,10105,675.00,0.61,0.61,0.61,0.61,0.61
9,10107,657.00,0.62,0.61,0.61,0.62,0.60
9,10105,663.00,0.61,0.61,0.61,0.61,0.61
9,10107,663.00,0.60,0.61,0.61,0.61,0.61
9,10105,672.00,0.62,0.61,0.61,0.61,0.62
9,10107,656.00,0.60,0.62,0.62,0.61,0.61
9,10105,671.00,0.61,0.61,0.61,0.61,0.61
9,10107,649.00,0.62,0.61,0.61,0.60,0.61
9,10105,660.00,0.62,0.60,0.61,0.61,0.62
9,10107,651.00,0.62,0.60,0.62,0.61,0.61
9,10105,667.00,0.61,0.61,0.62,0.61,0.61
9,10107,661.00,0.61,0.62,0.61,0.61,0.61
9,10105,665.00,0.62,0.61,0.61,0.60,0.61
9,10107,659.00,0.61,0.62,0.62,0.61,0.60
9,10105,659.00,0.61,0.61,0.61,0.61,0.61
9,10107,660.00,0.61,0.61,0.62,0.62,0.61
9,10105,664.00,0.61,0.61,0.61,0.62,0.62
9,10107,648.00,0.61,0.61,0.62,0.62,0.61
9,10105,670.00,0.61,0.61,0.61,0.61,0.61
9,10107,663.00,0.61,0.61,0.62,0.62,0.61
9,10105,662.00,0.62,0.61,0.60,0.62,0.61
9,10107,657.00,0.62,0.59,0.62,0.61,0.62
9,10105,676.00,0.62,0.62,0.62,0.62,0.62
9,10107,664.00,0.61,0.62,0.61,0.61,0.62
9,10105,669.00,0.62,0.61,0.61,0.61,0.61
9,10107,692.00,0.60,0.61,0.62,0.61,0.61
9,10105,695.00,0.62,0.61,0.61,0.62,0.62
9,10107,716.00,0.61,0.61,0.61,0.60,0.61
9,10107,715.00,0.60,0.60,0.62,0.61,0.62
9,10106,714.00,0.61,0.61,0.61,0.62,0.62
9,10107,725.00,0.61,0.61,0.61,0.61,0.61
9,10105,712.00,0.61,0.61,0.61,0.60,0.60
9,10107,713.00,0.60,0.61,0.61,0.61,0.60
9,10105,714.00,0.62,0.61,0.61,0.61,0.61
9,10107,723.00,0.61,0.61,0.61,0.62,0.62
9,10105,723.00,0.61,0.62,0.62,0.61,0.61
9,10107,716.00,0.62,0.61,0.61,0.62,0.62
9,10105,728.00,0.62,0.62,0.61,0.61,0.62
9,10107,721.00,0.61,0.61,0.60,0.61,0.61
